cik,ticker,label,subset,Fiscal Period,Cost of Goods Sold,Depreciation Depletion Amortization,EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
1339947,VIAB,False,train,Sep 2016,980.0,4789.0,2732.0,7521.0,12488.0,11896.0,15126.0,1438.0,15628.0,12488.0,22508.0,4522.0,3672.0,844.0,18178.0,9756.0,2712.0
1339947,VIAB,False,train,Sep 2017,980.0,4962.0,2602.0,7564.0,13263.0,11100.0,11207.0,1874.0,17124.0,13263.0,23698.0,5801.0,3753.0,919.0,17579.0,10661.0,2970.0
1339947,VIAB,False,train,Sep 2018,980.0,4998.0,2797.0,7795.0,12943.0,9515.0,13609.0,1719.0,18561.0,12943.0,23783.0,6076.0,4054.0,896.0,16318.0,10146.0,3141.0
1339947,VIAB,False,train,Sep 2019,980.0,4754.0,2639.0,7393.0,12838.0,8640.0,9702.0,1548.0,19887.0,12838.0,23671.0,5294.0,3824.0,775.0,15151.0,10199.0,3299.0
1490983,CCGPRA.PFD,False,train,Dec 2010,61.0,19.0,1.0,20.0,26.0,103.0,388.0,-15.0,-5.0,87.0,371.0,18.0,21.0,32.0,121.0,27.0,1.0
1490983,CCGPRA.PFD,False,train,Dec 2011,59.0,20.0,11.0,31.0,36.0,187.0,388.0,4.0,-21.0,95.0,540.0,14.0,113.0,32.0,305.0,28.0,1.0
1490983,CCGPRA.PFD,False,train,Dec 2012,83.0,24.0,22.0,46.0,45.0,218.0,388.0,11.0,-37.0,128.0,696.0,12.0,121.0,32.0,347.0,29.0,2.0
1490983,CCGPRA.PFD,False,train,Dec 2013,41.0,26.0,12.0,38.0,51.0,206.0,388.0,1.0,-86.0,92.0,1183.0,68.0,272.0,32.0,485.0,40.0,3.0
1490983,CCGPRA.PFD,False,train,Dec 2014,47.0,29.0,-138.0,-108.0,60.0,301.0,388.0,-163.0,-299.0,107.0,1177.0,22.0,372.0,32.0,686.0,197.0,2.0
1185348,PRAA,False,train,Dec 2016,258.8,24.4,212.2,236.6,573.3,1784.1,1812.5,86.3,1049.4,832.1,3164.0,2466.6,185.1,6.8,2246.8,353.5,2329.0
1185348,PRAA,False,train,Dec 2017,344.7,19.8,184.7,204.5,477.2,2170.2,1500.3,164.3,1214.8,821.9,3701.0,2934.2,200.3,6.8,2560.3,329.5,2813.7
1185348,PRAA,False,train,Dec 2018,319.4,19.3,213.7,233.0,558.6,1313.5,1104.1,65.6,1276.5,878.0,3909.6,3246.4,1343.4,6.8,2785.6,370.2,3147.7
1185348,PRAA,False,train,Dec 2019,310.4,17.5,261.5,279.0,684.9,1018.9,1648.6,86.2,1362.6,995.3,4423.9,3666.5,1993.0,6.8,3196.9,434.9,3542.7
1185348,PRAA,False,train,Dec 2020,436.9,18.5,208.0,226.5,628.6,1083.7,1807.9,149.3,1512.0,1065.4,4453.1,3645.3,1842.6,6.8,3079.5,420.6,3536.7
356708,FRGBQ,False,train,Dec 2004,71.2,1.0,-12.2,-4.1,80.8,64.9,276.0,27.0,57.0,90.0,1812.0,185.1,37.7,29.1,1706.0,93.1,23.0
356708,FRGBQ,False,train,Dec 2005,71.2,1.0,-12.2,-4.1,80.8,64.9,276.0,27.0,57.0,90.0,1812.0,185.1,37.7,29.1,1706.0,93.1,23.0
356708,FRGBQ,False,train,Dec 2006,71.2,1.0,-12.2,-4.1,80.8,64.9,419.0,38.0,95.0,117.0,2075.0,185.1,37.7,29.1,1928.0,93.1,35.0
356708,FRGBQ,False,train,Dec 2007,71.2,1.0,-12.2,-4.1,80.8,64.9,226.0,34.0,128.0,119.0,2174.0,185.1,37.7,29.1,2000.0,93.1,61.0
356708,FRGBQ,False,train,Dec 2008,71.2,1.0,-12.2,-4.1,80.8,64.9,38.0,-24.0,105.0,107.0,2465.0,185.1,37.7,29.1,2315.0,93.1,67.0
1451951,FFNTQ,True,test,Dec 2008,92.0,44.0,46.0,90.0,236.0,432.0,23.0,-41.0,-187.0,328.0,552.0,62.0,185.0,1.0,684.0,178.0,12.0
1451951,FFNTQ,True,test,Dec 2009,92.0,44.0,46.0,90.0,236.0,432.0,23.0,-41.0,-187.0,328.0,552.0,62.0,185.0,1.0,684.0,178.0,12.0
1451951,FFNTQ,True,test,Dec 2010,110.0,29.0,-41.0,-12.0,236.0,511.0,23.0,-43.0,-231.0,346.0,533.0,63.0,138.0,1.0,683.0,164.0,10.0
1451951,FFNTQ,True,test,Dec 2011,108.0,20.0,-33.0,-13.0,222.0,463.0,23.0,-31.0,-262.0,330.0,493.0,54.0,131.0,1.0,622.0,157.0,9.0
1451951,FFNTQ,True,test,Dec 2012,109.0,17.0,-34.0,-17.0,205.0,1523.0,20.0,-49.0,-311.0,314.0,452.0,45.0,603.0,1.0,629.0,150.0,12.0
1238631,CUREQ,False,train,Dec 2000,89.0,3.0,26.0,24.0,50.0,40.0,2295.0,15.0,17.0,139.0,186.0,57.0,39.0,13.0,66.0,26.0,36.0
1238631,CUREQ,False,train,Dec 2001,89.0,3.0,26.0,24.0,50.0,40.0,2295.0,15.0,17.0,139.0,186.0,57.0,39.0,13.0,66.0,26.0,36.0
1238631,CUREQ,False,train,Dec 2002,89.0,3.0,26.0,24.0,50.0,40.0,2295.0,15.0,17.0,139.0,186.0,57.0,39.0,13.0,66.0,26.0,36.0
1238631,CUREQ,False,train,Dec 2003,149.0,3.0,24.0,27.0,66.0,40.0,2295.0,13.0,30.0,215.0,234.0,75.0,49.0,11.0,90.0,45.0,55.0
1238631,CUREQ,False,train,Dec 2004,222.0,5.0,-129.0,-124.0,60.0,211.0,2295.0,-141.0,-111.0,282.0,284.0,114.0,64.0,18.0,279.0,188.0,85.0
1043382,SOA,False,train,Dec 1999,8303.0,28.0,3.0,31.0,265.0,200.0,1024.0,-44.0,-515.0,265.0,475.0,32.0,203.0,4.0,713.0,262.0,6.0
1043382,SOA,False,train,Dec 2000,8303.0,28.0,3.0,31.0,265.0,200.0,1024.0,-44.0,-515.0,265.0,475.0,32.0,203.0,4.0,713.0,262.0,6.0
1043382,SOA,False,train,Dec 2001,8303.0,28.0,3.0,31.0,265.0,200.0,1024.0,-44.0,-515.0,265.0,475.0,32.0,203.0,4.0,713.0,262.0,6.0
1043382,SOA,False,train,Dec 2002,8303.0,28.0,3.0,31.0,265.0,200.0,1024.0,-44.0,-515.0,265.0,475.0,32.0,203.0,4.0,713.0,262.0,6.0
